source_id,organization,title,source_type,grade,publication_date,lifecycle_stage,claim,evidence,observed_pattern,precondition,failure_mode,control,metric,confidence,applicability,citation
AN-04,Anthropic,Demystifying evals for AI agents,evaluation;observability,A,2026,verify;observe,Agent evaluations must measure trajectories tools and outcomes in dynamic environments,The post treats the full message and tool sequence as an evaluation artifact,Final-answer quality alone misses planning and integration failures,Tasks need reproducible scenarios and outcome labels,An agent can produce a plausible answer while failing the workflow,Log stable trajectory IDs and combine outcome and path metrics,task success;tool accuracy;trajectory quality,high,Hydra evidence model;metrics,https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents
AN-05,Anthropic,Scaling Managed Agents: Decoupling the brain from the hands,architecture;operations,A,2025,execute;observe,Session log harness and sandbox should be separate durable components,The post describes append-only sessions virtualized harnesses and sandboxes with stable interfaces,Durable context can outlive model and harness changes,The system must identify session state and execution state separately,Provider or harness swaps otherwise destroy continuity and auditability,Version stable interfaces and separate durable log from context management,session durability;time to first token;recovery rate,high,Hydra portable meaning;control plane,https://www.anthropic.com/engineering/managed-agents
AN-06,Anthropic,Beyond permission prompts: making Claude Code more secure and autonomous,security,A,2025,execute;approve,Filesystem and network isolation can reduce approval fatigue without widening authority,The article describes sandboxing and a scoped web git proxy,Permission prompts are not the only safety mechanism,Agents need to run ordinary work without raw access to sensitive systems,Prompt fatigue causes unsafe blanket approvals or unusable workflows,Use least-privilege isolation and scoped credential proxies,approval rate;denied access;policy violations,high,Hydra governance;connector exception,https://www.anthropic.com/engineering/claude-code-sandboxing
AN-07,Anthropic,Effective context engineering for AI agents,context;plan,B,2025,plan;execute,Context quality is an engineering discipline involving retrieval structure and state,The article treats context selection and compaction as design variables,More context is not automatically better; relevant state must be discoverable and bounded,The agent needs accurate repository and task context at decision time,Context overload and stale instructions produce confident wrong changes,Curate context and retain only decision-relevant artifacts,context retrieval precision;compaction loss;task success,medium,Hydra reference routing;AGENTS;handoff,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents
NV-01,NVIDIA,Agentic Autonomy Levels and Security,security;governance,A,2025,approve;execute;observe,Autonomy level increases uncertainty about data flow and tool consequences,The framework distinguishes deterministic and autonomous levels and recommends taint tracing and manual approval,Tool and untrusted-data boundaries dominate agentic risk,The system must classify execution paths and sensitive actions,Indirect prompt injection can influence downstream tools and outputs,Classify autonomy and require stronger controls for sensitive tools,autonomy level;tainted action count;approval coverage,high,Hydra risk lanes;scoped authorization,https://developer.nvidia.com/blog/agentic-autonomy-levels-and-security/
NV-02,NVIDIA,Mastering Agentic Techniques: AI Agent Evaluation,evaluation;observability,A,2026,verify;observe,Agent evaluation measures task success tool accuracy trajectory efficiency and cost,The post contrasts model benchmarks with end-to-end trajectory evaluation,Evaluation must capture plans tools observations and outcomes,Production workflows are dynamic and nondeterministic,Static model scores miss integration and tool-selection failures,Build evaluation and observability into the agent from the start,task success;tool accuracy;steps;tokens;latency,high,Hydra evidence model;metrics,https://developer.nvidia.com/blog/mastering-agentic-techniques-ai-agent-evaluation/
NV-03,NVIDIA,Evaluating AI Agent Skill Performance with NVIDIA SkillEvaluator,evaluation;security,B,2026,verify,Skills need static structural checks and live isolated evaluation,The framework uses safety and structure checks plus sandboxed live scenarios,Reusable skills are deployable behavior and require their own qualification,Static linting cannot reveal runtime tool or outcome failures,An apparently valid skill can fail or become unsafe when executed,Run static and isolated live evaluation before distribution,static findings;live success;unsafe behavior,medium,Hydra plugin validation;release gate,https://developer.nvidia.com/blog/evaluating-ai-agent-skill-performance-with-nvidia-skillevaluator/
NV-04,NVIDIA,Safeguard Agentic AI Systems with the NVIDIA Safety Recipe,security;operations,B,2025,plan;execute;observe,Safety must span build deploy and run phases,The recipe combines model evaluation security scanning guardrails and monitoring,Controls need lifecycle ownership rather than a single review step,The agent and its environment evolve after initial launch,Drift and new tools invalidate one-time approval,Use continuous policy-aware monitoring and re-evaluation,policy violations;drift;incident response time,medium,Hydra release;observation;rollback,https://developer.nvidia.com/blog/safeguard-agentic-ai-systems-with-the-nvidia-safety-recipe/
NV-05,NVIDIA,From Assistant to Adversary: Exploiting Agentic AI Developer Tools,security,A,2025,execute;approve,Developer tools must assume prompt injection and constrain sensitive actions,The article examines malicious instructions entering agent workflows through developer data,Untrusted repository or web content can become control input,Agents read files and invoke tools whose effects exceed the prompt,Injected instructions can trigger exfiltration or destructive commands,Isolate execution and require approval for sensitive tools,blocked action count;exfiltration paths;approval events,high,Hydra untrusted-input rule;security lane,https://developer.nvidia.com/blog/from-assistant-to-adversary-exploiting-agentic-ai-developer-tools/
NV-06,NVIDIA,Where Security Fits in an AI Agent Stack,security;architecture,A,2026,execute;approve;observe,Authority and effect controls should be enforced below model agent harness and memory layers,The guidance separates model harness meta-harness runtime policy and infrastructure and requires checks on external effects,Greater autonomy is compatible with safety when enforcement is independent of agent-controlled text,Every impactful action must cross an identity and policy boundary,Prompt-only authority and standing access allow errors or attacks to compound,Use task-scoped identity just-in-time access isolation audit and recovery,unauthorized effects;credential lifetime;recovery time;audit completeness,high,Hydra governance;connector boundary;portable control plugin,https://developer.nvidia.com/blog/where-security-fits-in-an-ai-agent-stack/
NV-07,NVIDIA,Four Ways to Deploy More Secure AI Agents,security;operations,B,2025,execute;approve,Generated commands and tools require isolation least privilege and egress controls,The guidance emphasizes sandboxing credentials and network control,Generated commands are untrusted actions that need an execution boundary,Agent capability should be bounded by the execution environment,Unreviewed generated code can reach host or external systems,Use isolated runtimes scoped credentials and controlled egress,egress violations;privilege scope;sandbox escapes,high,Hydra runtime policy;connector operations,https://developer.nvidia.com/blog/four-ways-to-deploy-more-secure-ai-agents/
GO-01,Google/DeepMind,Building the agentic future: Developer highlights from I/O 2026,platform;architecture,C,2026,execute;handoff,Managed agents provide persistent isolated environments and custom skills,Google describes resumable environments and markdown skill templates,Agent portability depends on persistent state and explicit skills,Long tasks need files and state across interactions,State loss and opaque platform coupling break continuity,Make state and skills explicit and portable,session resume;environment persistence;skill reuse,medium,Hydra portability;skill references,https://blog.google/innovation-and-ai/technology/developers-tools/google-io-2026-developer-highlights/
GO-02,Google/DeepMind,Expanding Managed Agents in Gemini API,platform;security,B,2026,execute;observe,Managed agents combine background execution remote tools custom functions and credential refresh in an isolated sandbox,The post describes asynchronous interactions and isolated execution,Agent systems need resumability and scoped external connections,Long-running work crosses process and credential lifetimes,Stale credentials and opaque background jobs reduce auditability,Record durable interaction IDs and scope each connection,run resume;credential refresh;tool failures,medium,Hydra control plane;handoff;connector,https://blog.google/innovation-and-ai/technology/developers-tools/expanding-managed-agents-gemini-api/
GO-03,Google/DeepMind,New in Gemini Code Assist: Agent Mode and IDE enhancements,engineering;workflow,B,2025,plan;execute,Agent mode can understand a codebase plan multi-file changes and await approval,The announcement describes project-wide context and approval before edits,Codebase context and staged approval are user-facing workflow primitives,The repository must expose architecture dependencies and conventions,Local-file suggestions miss cross-component constraints,Use plan-before-edit and repository-level context,plan acceptance;multi-file defect rate,medium,Hydra repository contract;human gate,https://blog.google/innovation-and-ai/technology/developers-tools/gemini-code-assist-updates-july-2025/
GO-04,Google Research,Towards a science of scaling agent systems: When and why agent systems work,research-paper;evaluation,A,2026,plan;execute;verify,Multi-agent coordination helps parallel tasks but can hurt sequential tasks,The study reports controlled evaluation across many agent configurations,Architecture should follow task dependency structure rather than a default swarm,Parallelism and tool density determine coordination cost,Unnecessary agents add communication and error overhead,Choose single or multi-agent execution from task topology,success by topology;coordination cost;tool count,high,Hydra delegation;work unit design,https://research.google/blog/towards-a-science-of-scaling-agent-systems-when-and-why-agent-systems-work/
GH-01,GitHub,GitHub Copilot: Meet the new coding agent,product-case-study,B,2025,plan;execute;verify,Issue assignment can launch a background agent that works in a secure environment and opens a PR,The announcement describes Actions-backed execution session logs branch protections and human approval before CI/CD,The issue and PR become durable surfaces for agent work,The repository must have branch protections and observable sessions,Agent output can bypass review if workflows run automatically,Retain branch protection and require review before privileged workflows,session logs;PR review state;workflow approval,high,Hydra GitHub profile;goal issue,https://github.blog/news-insights/product-news/github-copilot-meet-the-new-coding-agent/
GH-02,GitHub,About third-party coding agents,platform-doc,A,2026,plan;execute;verify,Third-party agents can be delegated from issues and produce PRs while GitHub scans generated code,The documentation describes Codex and Claude support security validation and audit visibility,Agent identity and repository controls remain distinct from the model provider,Delegation must be bound to repository policy and review state,Provider access can be mistaken for authority,Use explicit repository permissions and automated security checks,security findings;review requests;audit events,high,Hydra Codex connector policy;scope tuple,https://docs.github.com/en/copilot/concepts/agents/about-third-party-coding-agents
GH-03,GitHub,About GitHub Agentic Workflows,platform-doc,A,2026,execute;approve;observe,Natural-language repository workflows need declared permissions safe outputs and hardened execution,The documentation specifies read-only defaults firewalled containers and safe-output gates,Agentic automation can be useful without granting arbitrary write access,The workflow must declare triggers permissions and allowed outputs,Free-form write access turns routine automation into an unbounded actor,Compile guardrails and restrict writes to named outputs,run cost;safe-output violations;workflow audit,high,Hydra governance;workflow projection,https://docs.github.com/en/copilot/concepts/agents/about-github-agentic-workflows
GH-04,GitHub,Customize Copilot for your project,platform-doc,B,2026,context;verify,Repository instructions and specialized agents provide persistent project context and review conventions,The guide describes custom instructions agent files and a test-first bug-fixer flow,Context should be versioned with the repository and tied to checks,Agents need local conventions and commands at decision time,Undocumented conventions produce inconsistent changes and reviews,Keep instructions small discoverable and executable,context coverage;test pass rate;review rework,medium,Hydra AGENTS and skill routing,https://docs.github.com/en/copilot/how-tos/copilot-on-github/customize-copilot/customize-copilot-overview
CU-01,Cursor,The third era of AI software development,product-case-study,C,2026,execute;review,Cloud agents are framed as a fleet that works independently and returns artifacts for review,The post describes agents running on VMs for extended periods with logs previews and parallelism,Human work shifts toward direction and review,The environment must make progress and artifacts inspectable,Parallel output increases review and integration load,Provide bounded tasks and reviewable artifacts rather than raw transcripts,merged PR share;review time;agent run duration,medium,Hydra work unit;review bottleneck,https://cursor.com/blog/third-era
FA-01,Factory,Agent Native Development,product-case-study,B,2026,plan;execute;verify,Agent-native development gives the agent the inner loop of context planning implementation validation and submission,The article describes humans owning architecture guardrails and intervention while agents leave traces,The lifecycle should expose objective success criteria and automatic verification,Tasks must be bounded enough to stop incorrect assumptions,Fast code generation without objective checks moves the bottleneck to review,Require demonstrable success and reviewable traces,verification coverage;review latency;rework,medium,Hydra lifecycle;acceptance evidence,https://factory.ai/news/build-with-agents
RE-01,Replit,Introducing Agent 3: Our Most Autonomous Agent Yet,product-case-study,C,2025,execute;verify;observe,Agent 3 periodically tests applications in a real browser and repairs failures during long runs,The announcement describes browser previews task lists self-supervision and extended runs,End-to-end testing must be available inside the execution loop,The app needs a runnable preview and observable test actions,Self-testing can still miss product intent or degrade into unbounded loops,Bound run duration and require external acceptance checks,task completion;browser test failures;run duration,medium,Hydra verification;observation,https://replit.com/blog/introducing-agent-3-our-most-autonomous-agent-yet
RE-02,Replit,Inside Replit's Snapshot Engine: The Tech Making AI Agents Safe,engineering;security,A,2025,execute;rollback,Filesystem forks versioned databases and isolated sandboxes make agent changes reversible,The engineering post explains snapshots and dev/prod separation,Reversibility is an infrastructure primitive for safe autonomy,Agents need a disposable state boundary before mutating data,Irreversible changes make experimentation unsafe and recovery expensive,Use snapshots and isolated development data with rollback,rollback time;restore success;data-loss incidents,high,Hydra worktree;rollback;human gate,https://replit.com/blog/inside-replits-snapshot-engine
VE-01,Vercel,Agentic Infrastructure,architecture;operations,B,2026,deliver;observe,Agent-built software needs deployment previews immutable delivery observability and rollback-friendly infrastructure,The post connects agent access to deploy APIs previews logs and production investigation,Operational friction becomes the bottleneck when agents can generate changes quickly,Agents need a deterministic URL and runtime evidence to verify output,Green CI without runtime context can ship wrong assumptions,Expose preview and observability surfaces before increasing autonomy,preview success;deployment rollback;incident detection,high,Hydra delivery;observe stage,https://vercel.com/blog/agentic-infrastructure
VE-02,Vercel,The Agent Stack,architecture;platform,B,2026,execute;observe,Production agents need model routing durable workflows system tools and user interfaces,The article presents workflow checkpoints retries state persistence and isolated sandboxes,Agent infrastructure is a stack of replaceable primitives rather than one prompt,Long tasks and external events interrupt ordinary request-response execution,Restarting from zero loses cost and state,Use checkpoints retries sandboxing and provider-neutral interfaces,step recovery;latency;tool failure;cost,high,Hydra portability;workflow;runtime,https://vercel.com/blog/agent-stack
VE-03,Vercel,Introducing eve,architecture;security;workflow,A,2026,execute;approve;observe,An agent can be packaged as a directory with durable execution sandbox approvals subagents and evals,The open-source framework makes these capabilities explicit and inspectable,Skills and runtime controls can be distributed together,Generated code must be isolated from the controlling harness,Agent code can damage the host or bypass human approval,Separate harness and sandbox and require approvals for sensitive actions,run recovery;approval events;evaluator results,high,Hydra plugin shape;skill assets;governance,https://vercel.com/blog/introducing-eve
VE-04,Vercel,Introducing the new Vercel Agent,security;operations,B,2026,verify;approve,Generated code can be tested in an ephemeral sandbox before a PR is surfaced,The article describes read-like investigation followed by permissioned writes and sandbox tests,Permission should be bound to agent identity action and runtime,Production credentials and execution need not be exposed during validation,Standing permissions amplify a confused or malicious action,Use ephemeral environments and explicit plan-to-permission gates,preflight pass rate;approval scope;rollback,high,Hydra risk lanes;approval;PR evidence,https://vercel.com/blog/vercel-agent
VE-05,Vercel,A new programming model for durable execution,architecture;workflow,B,2026,execute;observe,Durable workflows checkpoint steps retry failures and resume after interruption,The guide describes event logs state persistence and CLI inspection for agents,Agents need a durable execution model rather than longer timeouts,Failures and human waits are normal workflow events,Restarting the entire run multiplies cost and loses context,Persist step state and make run inspection available to agents and humans,step retry;resume rate;cost per success,high,Hydra long-running workflow;observation,https://vercel.com/blog/a-new-programming-model-for-durable-execution
LI-01,Linear,AI Agents,platform-doc,B,2026,plan;execute;review,Agents behave like workspace users but the human assignee remains the owner,The documentation describes delegation by assignment comments workspace permissions and activity views,Delegation changes who acts without transferring accountability,Agents need scoped team access and visible activity,Agent ownership can be confused with human accountability,Keep human owner and agent delegate separate in the work record,delegated issue visibility;permission scope;handoff completeness,high,Hydra operating model;goal issue,https://linear.app/docs/agents-in-linear
SG-01,Sourcegraph,A new era for Sourcegraph: the intelligence layer for AI coding agents and developers,context;platform,B,2026,plan;execute,Shared code intelligence gives humans and agents cross-repository architectural context,The release describes semantic search dependency navigation history and MCP access,Context infrastructure is a shared platform rather than a private prompt,Large repositories hide dependencies and historical decisions,Shallow retrieval produces plausible but misleading changes,Use authoritative retrieval and record context provenance,context retrieval quality;cross-repo success;tool usage,high,Hydra context infrastructure;audit trail,https://sourcegraph.com/blog/a-new-era-for-sourcegraph-the-intelligence-layer-for-ai-coding-agents-and-developers/
OA-08,OpenAI,Introducing OpenAI Frontier,product;organization,C,2026,context;execute;learn,AI coworkers need shared business context memory identity permissions and evaluation to become dependable teammates,The announcement describes hiring AI coworkers that work across interfaces and improve from real work,Agent usefulness depends on organizational context and learning as well as model capability,The organization must expose authoritative context and define meaningful work,Employee language can overstate product maturity or imply unsupported personhood,Separate coworker operating stance from legal claims and validate performance on real work,outcome quality;memory usefulness;permission incidents,medium,Hydra doctrine;role continuity;capability development,https://openai.com/index/introducing-openai-frontier/
OA-09,OpenAI,Codex best practices,platform-doc,A,2026,context;plan;execute;learn,Codex works best when treated as a teammate configured and improved over time,Official guidance separates prompts AGENTS skills plugins MCP worktrees review and scheduled tasks by purpose,Durable guidance and repeatable work belong on different Codex surfaces,Teams need to place information on the smallest durable surface that fits,Long prompts and step-by-step watching waste context and human attention,Keep AGENTS practical package repeated work as skills and automate only stable workflows,human attention;context size;review quality;workflow reliability,high,Hydra Codex profile;plugin architecture;AGENTS routing,https://learn.chatgpt.com/guides/best-practices.md
OA-10,OpenAI,Warp's big bet on building open source with GPT-5.5,business-case-study,C,2026,execute;review;observe,Warp reports agents co-create most pull requests and require observability coordination memory and human review,The case study describes persistent parallel agents managed through the Oz control plane,Scaling agent work moves the bottleneck to coordination memory and review capacity,The team must have inspectable sessions shared context and clear review ownership,Parallel agent output can overwhelm integration and reproduce company-reported bias,Measure landed outcomes and review cost rather than launched agents,landed changes;review time;agent run duration;token cost,medium,Hydra leadership;human attention;parallel work,https://openai.com/index/warp/
MS-01,Microsoft Research,Interaction Process Infrastructure: A Unified Framework for Human-Agent Collaboration,research,A,2025,plan;execute;learn,Open-ended collaboration requires adjustable initiative role negotiation and work structures that can change over time,The paper synthesizes mixed-initiative activity theory and agent architecture research and proposes process-first adaptation,Collaboration quality depends on the shared work structure rather than interaction alone,Humans and agents need a visible representation of purpose roles and changing activity,Fixed human-led or agent-led workflows cannot adapt as understanding changes,Make direction assignment and decision rights revisable while preserving accountability,role changes;initiative handoffs;coordination failures;task success,high,Hydra operating model;delegation;role negotiation,https://www.microsoft.com/en-us/research/wp-content/uploads/2025/12/Human_Agent_Framework.pdf
GH-05,GitHub,About GitHub Agentic Workflows,platform-doc,A,2026,execute;observe,Agentic repository automation can use natural-language instructions with declared triggers permissions and safe outputs,Official documentation describes compiled workflows firewalled containers read-only defaults and validated write operations,Stable agent work can be automated without exposing unrestricted repository credentials,The workflow must be repeatable and its allowed effects must be enumerable,Automating an unstable skill amplifies errors cost and untrusted input,Automate only qualified workflows and keep secrets outside the agent runtime,workflow success;safe-output violations;run cost;review load,high,Hydra future automation boundary;GitHub profile,https://docs.github.com/en/enterprise-cloud@latest/copilot/concepts/agents/about-github-agentic-workflows
AN-08,Anthropic,How we built our multi-agent research system,engineering;evaluation,A,2025,plan;execute;review,A lead agent can delegate parallel research when prompts define division of labor methods and effort budgets,The production report compares a lead and subagent system with a single-agent baseline and documents coordination failures,Multi-agent gains depend on leadership task decomposition and integration rather than agent count alone,Work must divide into independent scopes with enough review capacity,Duplicate work poor delegation and unchecked parallel output increase cost without improving the result,Give the lead an outcome resource budget delegation guidance and responsibility for synthesis,task success;token use;duplicate work;integration quality,high,Hydra agent lead;parallel delegation;resource management,https://www.anthropic.com/engineering/multi-agent-research-system
