"source_id","organization","date","source_type","lifecycle_stage","claim","evidence_status","observed_pattern","precondition","failure_mode","control","metric","confidence","applicability","citation"
"ANT-05","Anthropic","2025-10-20","security engineering","execute; authorize","Filesystem and network sandbox boundaries can reduce repeated permission prompts while increasing practical autonomy and safety.","engineering_evidence; self_reported 84 percent prompt reduction","Move routine safety from per-command approval to enforceable environment boundaries.","Allowed files and network destinations can be defined before execution.","Approval fatigue, prompt injection, broad filesystem access, and uncontrolled egress.","OS sandbox, filesystem isolation, network isolation, and explicit boundary exceptions.","Permission prompts, blocked violations, task completion, security incidents.","high","direct","https://www.anthropic.com/engineering/claude-code-sandboxing"
"ANT-06","Anthropic","2026-01-09","evaluation guidance","verify; learn","Agent evaluation should combine outcome checks, transcript or trajectory checks, code-based graders, model graders, and calibrated human judgment.","engineering_evidence from internal and customer deployments","Define task, trial, grader, transcript, outcome, harness, and suite separately; run repeated trials for nondeterministic work.","Representative tasks and observable end states exist.","Final text claims success when environment state is wrong, or one passing run hides variance.","Outcome-first graders, multiple assertions, repeated trials, trajectory review, production monitoring.","Task success, tool accuracy, latency, tokens, cost, error rate, grader agreement.","high","direct","https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents"
"ANT-07","Anthropic","2026-04-08","platform engineering","continuity; portability","Session, harness, and sandbox can be independent interfaces so implementations change without losing durable work or coupling state to one machine.","engineering_evidence","Preserve stable role and work interfaces while treating model, harness, and execution host as replaceable.","Session logs and artifacts are stored outside an ephemeral worker.","A failed or stuck container destroys work state; harness assumptions become obsolete as models improve.","Append-only session, replaceable harness, replaceable sandbox, stable APIs, and recovery from live state.","Resume latency, lost work, harness change regression, worker failure recovery.","high","direct","https://www.anthropic.com/engineering/managed-agents"
"ANT-08","Anthropic","2026-03-24","engineering experiment","plan; execute; evaluate","Planner, generator, and evaluator separation can improve long-running builds, but every harness component is a potentially stale assumption that must earn its cost.","engineering_evidence; scoped experiment","Treat the plan as a hypothesis and remove or add harness components through controlled evaluation.","Evaluation criteria make quality gradable and the application can be exercised end to end.","Bulky, slow, expensive scaffolding; evaluator drift; components retained after models outgrow them.","Ablation, structured handoff artifacts, planner-generator-evaluator roles where measured.","Outcome quality, evaluator agreement, latency, cost, component lift.","high","direct as a method, not doctrine","https://www.anthropic.com/engineering/harness-design-long-running-apps"
"NVI-01","NVIDIA","2025-02-25","security framework","authorize; execute","Agent risk is driven by nondeterministic paths, untrusted data, and the sensitivity of available tools; autonomy level alone is not the risk score.","official_security_guidance","Classify data flow and tool effects; apply stronger isolation, taint handling, and time-of-use approval when untrusted data can reach sensitive actions.","Tools, data sources, trust boundaries, and downstream effects are inventoried.","Indirect prompt injection steers a sensitive tool or delegated authority is broader than the task.","Least functionality, sanitization, isolation, taint tracing, and approval for hazardous effects.","Sensitive actions, tainted paths, blocked calls, approval precision, incidents.","high","direct","https://developer.nvidia.com/blog/agentic-autonomy-levels-and-security/"
"NVI-02","NVIDIA","2026-05-19","evaluation guidance","verify; observe","Production agent evaluation should measure the full trajectory, tool usage, outcome, reasoning efficiency, and cost rather than model scores alone.","official_guidance","Instrument agent runs end to end and align custom metrics with the actual workflow.","Plans, calls, observations, outcomes, and resource usage can be recorded safely.","A strong base model fails in integration, loops, uses the wrong tool, or completes at unacceptable cost.","Trajectory capture, task-success grading, tool-call checks, efficiency and domain metrics.","Task success rate, tool call accuracy, steps, latency, tokens, cost.","high","direct","https://developer.nvidia.com/blog/mastering-agentic-techniques-ai-agent-evaluation/"
"NVI-03","NVIDIA","2026-07-30","red-team guidance","security; execute","Prompt-based defenses and model judges are insufficient enforcement for agent access, command execution, egress, and secrets.","engineering_evidence from red-team practice","Keep deterministic access controls outside the model and remove persistent secrets from the execution environment.","Infrastructure can enforce identity, sandbox, network, and secret boundaries.","Prompt injection yields arbitrary commands, data exfiltration, or credential reuse.","Access control, sandboxing, default-deny egress, short-lived secrets, and package validation.","Policy violations, egress attempts, secret exposure, containment and recovery time.","high","direct","https://developer.nvidia.com/blog/four-ways-to-deploy-more-secure-ai-agents/"
"GOO-01","Google Cloud DORA","2025","industry research report","whole lifecycle","AI amplifies the strengths and weaknesses of the surrounding delivery system; tool adoption alone does not create high performance.","controlled_research; survey and qualitative analysis","Optimize the organizational system, feedback speed, platform quality, and user value alongside AI use.","Delivery performance and organizational capabilities are measured together.","More code or higher local productivity increases instability, rework, or downstream review load.","Small batches, strong feedback, quality internal platforms, user focus, and stable priorities.","Throughput, change stability, lead time, recovery, rework, user value.","high","direct","https://dora.dev/research/2025/dora-report/"
"GOO-02","Google Research","2026-01-28","controlled research","plan; delegate","Multi-agent systems improve parallelizable tasks but can degrade sequential work and amplify errors; topology should follow decomposability and tool density.","controlled_research across 180 configurations","Use a single agent for sequential high-dependency work and a centralized coordinator for truly parallel branches.","Task dependencies and tool count can be estimated before delegation.","Communication overhead fragments reasoning; independent agents amplify correlated errors.","Topology selection, bounded fan-out, centralized integration, and architecture evaluation.","Task success, coordination messages, error amplification, tool density, cost.","high","direct","https://research.google/blog/towards-a-science-of-scaling-agent-systems-when-and-why-agent-systems-work/"
"GOO-03","Google DeepMind","2025-05-14","research system case","explore; verify; learn","Creative program generation becomes reliable in scorable domains when automated evaluators select and evolve candidates.","engineering_evidence; self_reported research results","Open-ended generation can be paired with objective evaluators and an iterative search loop.","The outcome has a trustworthy, quantitative, repeatable score.","Plausible programs are accepted without proof, or a poor evaluator rewards the wrong behavior.","Automated evaluator, candidate history, repeated execution, and selection by measured outcome.","Correctness, quality score, improvement over baseline, reproducibility.","high","direct for objectively scorable work","https://deepmind.google/blog/alphaevolve-a-gemini-powered-coding-agent-for-designing-advanced-algorithms/"
"GOO-04","Google Cloud","2025-11-17","evaluation guidance","verify; observe","Agent evaluation should cover the overall interaction and be tailored to production goals rather than rely on one generic score.","official_guidance","Build a representative scenario set and mix deterministic, rubric, safety, and operational checks.","Expected behaviors and critical scenarios can be stated.","A proof of concept passes demos but fails diverse real workflows.","Layered evaluators, representative datasets, release baselines, and continuous evaluation.","Scenario pass rate, safety, groundedness, tool quality, production regressions.","medium","direct","https://cloud.google.com/blog/topics/developers-practitioners/a-methodical-approach-to-agent-evaluation"
"MSR-01","Microsoft Research","2026-05","research paper","verify; learn","Passing tests can conceal chaotic or unsafe trajectories; process quality adds information beyond binary patch success.","controlled_research across 2614 trajectories","Keep outcome as the first gate, then inspect trajectory waste, regressions, missing verification, and ordering for diagnosis and trust.","Comparable trajectories and valid tests exist.","Lucky passes, blind retries, regression cycles, and missing verification are ranked as ideal work.","Process-level signals beside pass rate, multiple successful references, and regression analysis.","Pass rate, lucky-pass rate, waste signals, rank change, verification coverage.","high","direct with caution against prescribing one path","https://www.microsoft.com/en-us/research/publication/agentlens-revealing-the-lucky-pass-problem-in-swe-agent-evaluation/"
"MSR-02","Microsoft Research","undated; accessed 2026-08-23","research project","verify; learn","Prompts, instructions, and traces contain explicit and implicit behavioral rules that can be extracted, checked, and inverted into adversarial tests.","research_evidence; project results are self_reported","Turn important agent instructions into regression and adversarial scenarios rather than trusting prose alone.","Instructions and traces are available in a reviewable form.","Specification drift and manual review cannot cover thousands of traces.","Rule extraction, trace evaluation, model comparison, and generated negative tests.","Rule violations, trace coverage, adversarial test yield, model comparison.","medium","direct for policy-invariant tests","https://www.microsoft.com/en-us/research/project/agent-pex-automated-evaluation-and-testing-of-ai-agents/"
"GIT-01","GitHub","living docs; accessed 2026-08-23","platform guidance","shape; execute; review","Coding agents produce better pull requests when issues are well scoped and repositories expose build, test, validation, and local instructions.","official_guidance","Use Issues for clear outcomes and AGENTS.md or repository instructions for durable local context.","The agent can build, test, search, and validate in its environment.","Ambiguous issues, missing dependencies, and hidden conventions produce low-quality PRs.","Meaningful issue scope, repository instructions, preinstalled dependencies, iterative PR feedback.","PR acceptance, build and test success, review iterations, time to merge.","high","direct","https://docs.github.com/en/copilot/using-github-copilot/using-copilot-coding-agent-to-work-on-tasks/best-practices-for-using-copilot-to-work-on-tasks"
"GIT-02","GitHub","living docs; accessed 2026-08-23","platform reference","review; approve; integrate","Rulesets can require pull requests, status checks, code scanning, and other conditions before a protected ref changes.","official_reference","Encode repository invariants in the control plane rather than depend on an agent or reviewer remembering them.","Required checks are trustworthy, scoped, and cannot be casually bypassed.","An agent edits workflow policy or bypasses a human convention and merges unsafe state.","Branch rulesets, required checks, restricted bypass, and protected refs.","Check status, bypass events, failed merges, policy changes.","high","direct","https://docs.github.com/en/repositories/configuring-branches-and-merges-in-your-repository/managing-rulesets/available-rules-for-rulesets"
"GIT-03","GitHub","living docs; accessed 2026-08-23","platform reference","release; provenance","Artifact attestations bind a release artifact to repository, workflow, commit, environment, and event, but provenance is not a security verdict by itself.","official_reference; aligned with SLSA","Record and verify how releasable artifacts were produced; apply an explicit acceptance policy.","Builds run through a trusted workflow and consumers verify attestations.","A release cannot be traced to exact inputs, or provenance is mistaken for proof that content is safe.","Signed attestations, immutable transparency where available, and verification policy.","Attestation coverage, verification failures, untraceable artifacts.","high","direct for future releases; not required for docs-only v0.1","https://docs.github.com/en/actions/concepts/security/artifact-attestations"
"CUR-01","Cursor","2026-02-26","company perspective","execute; review","Long-running cloud agents shift developers toward problem definition, tool and environment design, and review of logs, video, and previews.","product_claim; self_reported adoption metrics","Reviewable evidence packets reduce the need to reconstruct an agent session.","Agents run in isolated environments and can return runnable artifacts.","Synchronous handholding, local resource contention, flaky environments, and review overload.","Cloud workspaces, parallel runs, logs, recordings, live previews, and explicit review criteria.","Agent-created PR share, review time, environment failure, accepted outcomes.","medium","useful pattern; metrics not independent evidence","https://cursor.com/blog/third-era"
"FAC-01","Factory","2025-07-01","company methodology","plan; execute; verify","Agent-native development asks the agent to run the inner loop from context and plan through implementation, validation, and a reviewable change.","official_guidance; product perspective","Specify demonstrable success and design the environment for automatic objective verification.","Tasks have observable acceptance criteria and a bounded environment.","Code generation moves the bottleneck to review and validation; wrong assumptions compound.","Clear outcome, plan, validation procedures, and trace of decisions.","Validation pass rate, review effort, rework, time to accepted change.","medium","direct method; task-size advice requires OpenBoa adaptation","https://factory.ai/news/build-with-agents"
"VER-01","Vercel","2026-04-09","platform perspective","execute; release; observe","Machine-driven delivery needs programmatic deterministic deployment surfaces, isolated execution, durable workflows, previews, observability, and rollback.","product_claim; self_reported deployment metrics","Extend the agent loop beyond code to a runnable environment and production feedback.","Deployments are immutable, previewable, observable, and reversible.","Manual console steps break autonomy; untrusted code escapes; model or provider failures stall work.","Preview per change, API and CLI surfaces, sandbox, pause-resume-retry, monitoring, rollback.","Deployment success, preview verification, rollback time, cost, provider errors.","medium","direct principle; Vercel-specific implementation is replaceable","https://vercel.com/blog/agentic-infrastructure"
"VER-02","Vercel","2026-03-30","engineering perspective","review; release; observe","Green CI is not proof of production safety when change volume rises; safe autonomy needs standardized environments, staged rollout, automatic stop, and rollback.","engineering_evidence; company practice","Pair pre-merge checks with canaries and operational guardrails that react to real behavior.","Production metrics and rollback paths are machine-readable and tested.","A change passes tests but causes load, retry, cache, or scale failures in production.","Incremental deployment, automatic canary halt, rollback, rehearsed failure recovery, and observation.","Canary health, rollback rate and time, incidents, production regressions.","medium","direct","https://vercel.com/blog/agent-responsibly"
"REP-01","Replit","2025-12-15","engineering case","execute; verify","As agent autonomy grows, verification must reach the actual user-visible environment; syntax and unit tests alone can miss convincing but nonfunctional interfaces.","engineering_evidence; self_reported runtime and cost claims","Give an evaluator access to browser state, logs, database reads, and persistent test context.","The built application can run in an isolated browser environment.","Potemkin interfaces, compounding shortcuts, context pollution, slow or expensive computer use.","Layered checks, code-based browser automation, testing subagent, persistent REPL, logs and read-only state.","User-flow success, defect catch rate, verification cost, autonomous runtime.","high","direct for UI canaries; metrics not independent evidence","https://replit.com/blog/automated-self-testing"
"COG-01","Cognition","2026-03-19","product engineering","plan; delegate; verify","A coordinator can decompose independent work across isolated agent VMs, inspect trajectories, cap compute, stop straying workers, and integrate results.","product_claim","Delegation needs narrow scopes, isolated environments, verification, monitoring, and a single integration point.","Subtasks are independent enough to run in parallel.","Context accumulation, conflicting edits, runaway compute, and unverified subagent reports.","Coordinator, separate VM and test runner, trajectory visibility, compute monitoring, termination, and compiled evidence.","Subtask success, conflicts, compute use, stopped runs, integration defects.","medium","direct pattern; no evidence that it beats single-agent for all tasks","https://cognition.com/blog/devin-can-now-manage-devins"
"LIN-01","Linear","2025-05-20","product model","shape; track; handoff","Agents can be represented as visible first-class workspace users assigned to issues, teams, projects, and comments.","product_claim","Give agent work a durable identity, current assignment, and visible progress rather than treating it as an invisible chat session.","Work is represented in an issue tracker with agent attribution.","Humans cannot tell which agent is doing what or reconstruct responsibility across sessions.","Agent profile, issue assignment, comments, status, and lifecycle-specific integrations.","Active assignments, time in state, handoff delay, abandoned work.","medium","direct conceptual support for collaborator role; not legal personhood","https://linear.app/changelog/2025-05-20-linear-for-agents"
"SRC-01","Sourcegraph","2026-02-25","platform perspective","context; plan; execute","Humans and agents need the same dependable cross-repository, historical, and architectural context to work safely on large systems.","product_claim; engineering rationale","Treat context infrastructure as shared working infrastructure, not a prompt attachment.","Authoritative code and history are indexed with access controls.","Shallow context causes misleading plans and unsafe cross-repository changes.","Shared code intelligence, versioned API, historical search, usage tracking, and permission-aware retrieval.","Retrieval usefulness, wrong-context failures, cross-repo task success, tool cost.","medium","direct principle; specific product optional","https://sourcegraph.com/blog/a-new-era-for-sourcegraph-the-intelligence-layer-for-ai-coding-agents-and-developers"
"STD-01","NIST","2023-01-26; GenAI profile 2024-07-26","risk framework","whole lifecycle","AI risk management is continuous across design, development, deployment, use, and evaluation and should align controls with organizational goals and risk tolerance.","standard","Govern, map, measure, and manage as a lifecycle rather than add a one-time approval checklist.","Objectives, affected systems, risk tolerance, roles, and evidence can be described.","Controls are detached from purpose, risks emerge after deployment, or responsibilities are unclear.","Continuous risk review, impact mapping, measurement, management, and explicit accountability.","Risk events, control effectiveness, residual risk, review cadence, recovery.","high","direct at governance level","https://www.nist.gov/itl/ai-risk-management-framework"
"STD-02","OWASP GenAI Security Project","2025","security guidance","authorize; execute","Excessive functionality, permissions, or autonomy lets ambiguous or manipulated model output produce damaging external effects.","standard-like community guidance","Minimize tool functionality and permissions, constrain autonomy by effect, and require authorization where necessary.","Tools and permissions can be scoped to the task and effect.","Direct or indirect prompt injection, hallucination, or a compromised peer drives an unnecessary sensitive action.","Least privilege, least functionality, input and output validation, authorization, and rate or cost limits.","Denied calls, excess permission findings, unauthorized effects, resource consumption.","high","direct","https://genai.owasp.org/llmrisk/llm062025-excessive-agency/"
"STD-03","OpenTelemetry","1.44.0; accessed 2026-08-23","technical convention","observe; evaluate","Shared semantic attributes make agent, conversation, workflow, tool, usage, and evaluation telemetry correlatable across libraries and platforms.","standard; GenAI attributes partly development status","Use common trace vocabulary when runtime instrumentation is added, while protecting message content.","A runtime emits traces and sensitive fields can be filtered or truncated.","Vendor-specific logs cannot be compared, or raw prompts leak private data.","Semantic conventions, stable identifiers, opt-in content capture, redaction, and versioned telemetry.","Task and workflow traces, tool calls, token use, evaluation scores, privacy violations.","medium","future runtime guidance; v0.1 remains skills-only","https://opentelemetry.io/docs/specs/semconv/registry/attributes/gen-ai/"
"STD-04","SLSA","v1.2; accessed 2026-08-23","supply-chain standard","build; release; provenance","Build provenance should state how an artifact was produced, with higher assurance when a hosted and hardened control plane generates signed evidence.","standard","Separate trusted control-plane evidence from tenant-controlled build steps and verify provenance against policy.","A releasable artifact is produced by a defined build platform.","Outputs are built from an unintended source or process, or the worker forges provenance.","Provenance, signed hosted builds, hardened isolation, and verification against expected source and workflow.","Provenance coverage, verification failure, unexpected source or workflow, unsigned releases.","high","direct for packaged releases; adapted conceptually to PR evidence","https://slsa.dev/spec/v1.2/build-track-basics"
